 TW,#genre#
 广西卫视,mitv://ns2.hellotvvod.com:9906/f5a1d85d1fde492d94a85fbc6163d7d5.ts
 重庆卫视,mitv://ns2.hellotvvod.com:9906/45e0f044c07f44e5b9563983e07dfe86.ts
 云南卫视,mitv://ns2.hellotvvod.com:9906/e2f69e4b1f9d4e258b6ad07c121720c1.ts
 星空卫视,mitv://ns2.hellotvvod.com:9906/4061bc4d020e4e8882f3b50f3a449a51.ts
 广东南方卫视,mitv://ns2.hellotvvod.com:9906/0acd9abc66a84433a827553ffa68e20f.ts
 珠江台,mitv://ns2.hellotvvod.com:9906/9562b56517724478a11a6e4b9522409c.ts
 金鹰卡通,mitv://ns2.hellotvvod.com:9906/9e5f508ea0a34050b9cf987451ef1800.ts
 魅力足球,mitv://ns2.hellotvvod.com:9906/6df91ade155f4b16902ca7f68ff91ed1.ts
 新视觉,mitv://ns2.hellotvvod.com:9906/fa12abd182bf4c589c99d564d3764bb0.ts
 广东体育,mitv://ns2.hellotvvod.com:9906/3b2670c31187436c8e69b2d90a70454f.ts
 HK,#genre#
 港台電視31,mitv://ns2.hellotvvod.com:9906/dcf163898ead413e9c3ebb85d52d8277.ts
 港台电视32,mitv://ns2.hellotvvod.com:9906/12cabfd27d194e4685af3ac1f06c494a.ts
 香港开电视,mitv://ns2.hellotvvod.com:9906/26eb82c3f8d94db5a7700d76946184cb.ts
 ?翡翠台(备),mitv://ns2.hellotvvod.com:9906/0610977b37cc4c978192818eb8686053.ts
 J2,mitv://ns2.hellotvvod.com:9906/3f1748c99c95496e8547204939705429.ts
 明珠台,mitv://ns2.hellotvvod.com:9906/169a24692ba84e95b8b2ebe2491ef83a.ts
 无线新闻台,mitv://ns2.hellotvvod.com:9906/9915905cf4c44d919f98188a625d2a5f.ts
 无线财经·资讯台,mitv://ns2.hellotvvod.com:9906/24d12cc7a47f40e893b4ef198ed2c26d.ts
 ViuTVsix,mitv://ns2.hellotvvod.com:9906/a57ca5b32c0e43cb8bd63b76bea68ce9.ts
 ViuTV,mitv://ns2.hellotvvod.com:9906/d2ee9b500bdd4e1e8bf60fdb7a34498c.ts
 凤凰中文台,mitv://ns2.hellotvvod.com:9906/e16ed6dd1be84501b4047217b30a3ec1.ts
 凤凰资讯台,mitv://ns2.hellotvvod.com:9906/8fb4351c45754fc2942a6b394182b5f6.ts
 凤凰香港台,mitv://ns2.hellotvvod.com:9906/ae8447b5427f4bcc8b03405261fc6f39.ts
 香港无线新闻台,mitv://ns2.hellotvvod.com:9906/604c79820003412db9e551b942eb0874.ts
 TVB 星河,mitv://ns2.hellotvvod.com:9906/e91c8f49b9bb4174b7cd336aaa8938db.ts
 阳光卫视,mitv://ns2.hellotvvod.com:9906/8548a9c41bfd4bea9dc94c25617e85a4.ts
 澳门卫视,mitv://147.135.39.171:9906/5f5f266400058adc32f5c5f52daa336c.ts
 澳亚卫视,mitv://147.135.39.171:9906/5f5f2acf000683923307082c4d59188d.ts
 澳门-MACAU,mitv://ns2.hellotvvod.com:9906/892ffc1b77a2461ab29fe45fe72d69b5.ts
 澳门莲花,mitv://ns2.hellotvvod.com:9906/6089930824dc4a86921e6bef52a1fc2e.ts
 now新闻台,mitv://ns2.hellotvvod.com:9906/965d29611a8c4fa7a77462a95bc52c5a.ts
 now直播台,mitv://ns2.hellotvvod.com:9906/cbe7973c8191466c9d4939de7f455324.ts
 HKC电影台,mitv://ns2.hellotvvod.com:9906/29fc6c424bb04f4abf5701ae4dbe59e8.ts
 凤凰电影台,mitv://ns2.hellotvvod.com:9906/6bd66634bff74f80a56740b285a3e358.ts
 迪士尼(粤),mitv://147.135.39.171:9906/60578860000a3515a353117c0c5b1b93.ts
 卫视卡式台,mitv://ns2.hellotvvod.com:9906/609244960008becdca86df725dec17a5.ts
 HKC beIN Sports 1,mitv://ns2.hellotvvod.com:9906/60536006000aa52ed4d9c74d12d50ee8.ts
 HKC beIN Sports 2,mitv://ns2.hellotvvod.com:9906/6053600600046f01d4d9c5b7196a2faa.ts
 HKC新闻台,mitv://ns2.hellotvvod.com:9906/09d02262a19e4deab9463d22c3305e4c.ts
 HKC直播新闻台,mitv://ns2.hellotvvod.com:9906/da5010b099f04ddd9dba414f3f0c7f67.ts
 HKC财经资讯台,mitv://ns2.hellotvvod.com:9906/526faec05f9a4035a379936b87b116f4.ts
 HKC 18,mitv://ns2.hellotvvod.com:9906/60925bda000bdd5acae1c1dd36f87576.ts
 HKC 603,mitv://ns2.hellotvvod.com:9906/60536a0c000375ded500ecd976f06cfd.ts
 HKC体育,mitv://ns2.hellotvvod.com:9906/60925bdb00028a23cae1c3634f536302.ts
 HKC Sports Plus 1,mitv://ns2.hellotvvod.com:9906/60925bdb0008874ecae1c4ea1c9b6d90.ts
 HKC Sports Plus 2,mitv://ns2.hellotvvod.com:9906/60536a0d0000c6f9d500f01508d81705.ts
 HKC综合娱乐台,mitv://ns2.hellotvvod.com:9906/c43ce56111dd47e2a52dd79fbadb3626.ts
 翡翠台,mitv://ns2.hellotvvod.com:9906/1e78ff7373bd46e39f2f40c0a09e81ee.ts
 其他,#genre#
 CNN,mitv://ns2.hellotvvod.com:9906/af9a53b73f054846895c9897f8ab4eb6.ts
